eric_wikidata	eric_name	interaction_type	country	wikidata	ror	name	abbr	website	people
Q133811902	Actris	research performing organizations	DE	Q1607075	03a5xsc56	Leibniz Institute for Tropospheric Research	TROPOS	https://www.tropos.de/en/	Ulla Wandinger
Q133811902	Actris	research performing organizations	DE			Alfred Wegener Institute, Helmholtz Centerfor Polar and Marine Research	AWI	https://www.awi.de/en/	
Q133811902	Actris	research performing organizations	DE			Bergische Universität Wuppertal	BUW	https://www.uni-wuppertal.de/de/	
Q133811902	Actris	research performing organizations	DE			Deutscher Wetterdienst	DWD	https://www.dwd.de/DE/Home/home_node.html	
Q133811902	Actris	research performing organizations	DE			Forschungszentrum Jülich GmbH	FZJ	https://www.fz-juelich.de/en	
Q133811902	Actris	research performing organizations	DE			Goethe-Universität Frankfurt am Main	GUF	https://www.goethe-university-frankfurt.de/en?locale=en	
Q133811902	Actris	research performing organizations	DE			Karlsruhe Institute of Technology	KIT	https://www.kit.edu/english/	
Q133811902	Actris	research performing organizations	DE			Ludwig-Maximilians-Universität München	LMU	https://www.lmu.de/en/	
Q133811902	Actris	research performing organizations	DE			German Environment Agency	UBA	https://www.umweltbundesamt.de/en	
Q133811902	Actris	research performing organizations	DE			Universität Bremen	UBRE	https://www.uni-bremen.de/	
Q133811902	Actris	research performing organizations	DE			University of Cologne	UoC	https://www.uni-koeln.de/en/	
Q133811902	Actris	funding	DE			Federal Ministry of Education and Research	BMBF	https://www.bmbf.de/EN/Home/home_node.html	
Q133811902	Actris	funding	DE			Federal Ministry for the Environment, Nature Conservation, Nuclear Safety and Consumer Protection		https://www.bundesregierung.de/breg-en/federal-government/ministries/federal-ministry-of-education	
Q133811902	Actris	funding	DE			Federal Ministry for Digital and Transport		https://bmdv.bund.de/EN/Home/home.html	
Q49103279	DARIAH	representing entity	DE	Q492234	04pz7b180	Federal Ministry of Research Technology and Space	BMFTR		Maria Böhme
Q49103279	DARIAH	coordinating institution	DE		05745n787	University of Göttingen – Göttingen State and University Library (SUB)		https://www.sub.uni-goettingen.de/en/	Daniel Kurzawe (https://www.daniel-kurzawe.de/), Nanette Rißler-Pipka (https://orcid.org/0000-0002-0719-9003)
Q49103279	DARIAH	partner institution	DE		01kdxra28	Academy of Sciences and Literature Mainz		https://www.adwmainz.de/en	
Q49103279	DARIAH	partner institution	DE		05jgq9443	Berlin-Brandenburg Academy of Sciences and Humanities		https://www.bbaw.de/en/	
Q49103279	DARIAH	partner institution	DE		048yzb176	DAASI International		https://daasi.de/en/	
Q49103279	DARIAH	partner institution	DE		041qv0h25	German Archaeological Institute		https://www.dainst.org	
Q49103279	DARIAH	partner institution	DE		04cvxnb49	Goethe Universität Frankfurt am Main		https://www.goethe-university-frankfurt.de/en?locale=en	
Q49103279	DARIAH	partner institution	DE		00sngv739	Herder-Institut		https://www.herder-institut.de/en/home.html	
Q49103279	DARIAH	partner institution	DE		02y5mkh60	Herzog August Library Wolfenbüttel		https://www.hab.de/en	
Q49103279	DARIAH	partner institution	DE		047wbd030	Hochschule Darmstadt			
Q49103279	DARIAH	partner institution	DE		059dyrr28	Leibniz Institute of European History Mainz		https://www.ieg-mainz.de/en/	
Q49103279	DARIAH	partner institution	DE		02esxtn62	Max Weber Foundation		https://www.maxweberstiftung.de/en	
Q49103279	DARIAH	partner institution	DE		0492sjc74	Max-Planck-Institut für Wissenschaftsgeschichte			
Q49103279	DARIAH	partner institution	DE		01c1w6d29	Otto-Friedrich-University Bamberg	UBa	https://www.uni-bamberg.de/en/	
Q49103279	DARIAH	partner institution	DE		00cd95c65	Society for Scientific Data Processing	GWDG	https://www.gwdg.de	
Q49103279	DARIAH	partner institution	DE		04mz5ra38	University of Duisburg-Essen (Steinheim Institute for German-Jewish Studies)		http://steinheim-institut.de	
Q49103279	DARIAH	partner institution	DE		05n911h24	TU Darmstadt (Digital Humanities Team)		https://www.digitalhumanities.tu-darmstadt.de	
Q49103279	DARIAH	partner institution	DE		014nnvj65	TH Köln			
Q49103279	DARIAH	partner institution	DE		042aqky30	TU Dresden (Zentrum für Informationsdienste und Hochleistungsrechnen)			
Q49103279	DARIAH	partner institution	DE		00g30e956	University of Hamburg (Universitätsarchiv)			
Q49103279	DARIAH	partner institution	DE		058kzsd48	University of Paderborn (Musikwissenschaftliches Seminar Detmold)			
Q49103279	DARIAH	partner institution	DE		02778hg05	University of Trier		https://kompetenzzentrum.uni-trier.de/en/	
Q49103279	DARIAH	partner institution	DE		00fbnyb24	University of Würzburg		https://www.uni-wuerzburg.de/en/university/	
Q19372318	CESSDA	member	DE		018afyw53	Leibniz Institute for the Social Sciences - GESIS			
Q19372318	CESSDA	member	AT			The Austrian Social Science Data Archive	AUSSDA	https://aussda.at/en/	
Q19372318	CESSDA	member	BE			Social Sciences and Digital Humanities Archive	SODHA	https://www.sodha.be/	
Q19372318	CESSDA	member	HR			Croatian Social Science Data Archive	CROSSDA	https://www.crossda.hr/	
Q19372318	CESSDA	member	CZ			Czech Social Science Data Archive	CSDA	http://archiv.soc.cas.cz/	
Q19372318	CESSDA	member	FI			Finnish Social Science Data Archive	FSD	http://www.fsd.uta.fi/	
Q19372318	CESSDA	member	FR			PROGEDO Research Infrastructure		http://www.progedo.fr/	
Q19372318	CESSDA	member	GR			Greek research infrastructure for the social sciences	So.Da.Net	http://sodanet.gr/	
Q19372318	CESSDA	member	HU			Tárki Social Science Data Archive		http://www.tarki.hu/eng	
Q19372318	CESSDA	member	IS			The Icelandic Social Science Data Service	DATICE	https://datice.is/is	
Q19372318	CESSDA	member	IE			Irish Social Science Data Archive	ISSDA	http://www.ucd.ie/issda/	
Q19372318	CESSDA	member	IT			Data Archive for Social Sciences in Italy	DASSI	https://www.dassi-archive.it/	
